customer_id,cart_id,first_name,last_name,birth_date,phone_number,email_id,house_number,street,city,pincode,state,country,points_earned,membership_status
CUST013,CART013,Catarina,Wardall,1951-08-07,9396699102,cwardallc@hubpages.com,189,"8911 Mariners Cove Center",Caidian,473676,NULL,China,NULL,Prime
CUST014,CART014,Ailyn,Nashe,1972-07-18,7869488645,anashed@europa.eu,295,"276 Muir Point",Ambon,295941,NULL,Indonesia,1921,Elite
CUST015,CART015,Annice,Dicte,1957-03-27,4257159276,adictee@github.com,15,"5 Division Point","Nong Ruea",376861,NULL,Thailand,2229,Elite
CUST016,CART016,Jessica,Blackmoor,1959-08-01,7241195613,jblackmoorf@utexas.edu,214,"3 Norway Maple Center",Dajie,128080,NULL,China,859,Elite
CUST017,CART017,Shawn,Wherton,1973-02-04,5248886824,swhertong@icq.com,145,"4528 Lawn Alley",Borås,391257,"Västra Götaland",Sweden,3060,Elite
CUST018,CART018,Gnni,Borwick,1975-05-31,2765417024,gborwickh@ucoz.ru,194,"815 Clarendon Park",Narail,209965,NULL,Bangladesh,4598,Normal
CUST019,CART019,Tiler,Jowett,1977-07-28,3439114337,tjowetti@mapy.cz,232,"5 Kennedy Terrace",Barubandung,216500,NULL,Indonesia,1382,Normal
CUST020,CART020,Leticia,Cockayme,1995-12-20,8111225773,lcockaymej@liveinternet.ru,7,"01 Park Meadow Plaza",Mozirje,290964,NULL,Slovenia,3722,Normal
CUST021,CART021,Hanna,Jevons,1981-04-07,7526823464,hjevonsk@ebay.co.uk,207,"96 Muir Lane",Mweka,401210,NULL,"Democratic Republic of the Congo",3787,Elite
CUST022,CART022,Ketty,Wardley,1963-04-27,7048270361,kwardleyl@nih.gov,51,"8 Graedel Terrace",Göteborg,185248,"Västra Götaland",Sweden,2943,Elite
CUST023,CART023,Lara,Baskerville,1964-11-01,3006119488,lbaskervillem@weebly.com,103,"7339 Stuart Junction",Haukipudas,193674,NULL,Finland,2904,Elite
CUST024,CART024,Twyla,Conws,1976-09-28,9146855687,tconwsn@godaddy.com,222,"7042 Village Plaza",Quime,145975,NULL,Bolivia,NULL,Normal
CUST025,CART025,Agretha,Oliffe,1973-02-04,5703978007,aoliffeo@hud.gov,291,"1313 Bartillon Hill",Longos,390259,Braga,Portugal,4807,Normal
CUST026,CART026,Darlene,Riggeard,2004-09-03,3299700607,driggeardp@abc.net.au,64,"9813 Buell Street",Ollantaytambo,247408,NULL,Peru,117,Normal
CUST027,CART027,Inger,"De Ruggero",1993-05-08,2881500524,ideruggeroq@addtoany.com,139,"97009 Randy Lane","Senhor do Bonfim",296497,NULL,Brazil,3604,Elite
CUST028,CART028,Laurent,Costy,2005-04-09,2412905113,lcostyr@mtv.com,198,"029 Bartillon Plaza","Phra Pradaeng",417662,NULL,Thailand,1714,Normal
CUST029,CART029,Derron,Crossdale,2001-09-26,3048714834,dcrossdales@msn.com,245,"6523 Barnett Drive",Trollhättan,489634,"Västra Götaland",Sweden,2640,Prime
CUST030,CART030,Mayer,Vannuccinii,1996-09-11,8618649404,mvannucciniit@purevolume.com,230,"65176 Rieder Center",Kawasaki,355574,NULL,Japan,NULL,Prime
CUST031,CART031,Maddy,Behne,1950-07-04,4387637126,mbehneu@google.pl,42,"04226 Jana Alley",Świnna,493419,NULL,Poland,NULL,Prime
CUST032,CART032,Moses,Orehead,1999-06-12,7804784618,moreheadv@homestead.com,86,"71 Old Gate Avenue",Novorossiysk,195880,NULL,Russia,80,Elite
CUST033,CART033,Woody,MacCosty,1974-05-05,7739681025,wmaccostyw@freewebs.com,5,"4094 Hoffman Plaza",Chicago,279115,Illinois,"United States",702,Prime
CUST034,CART034,Devland,Craigg,1950-09-29,4862012132,dcraiggx@howstuffworks.com,138,"59650 Mesta Plaza","Palmar de Varela",407346,NULL,Colombia,297,Elite
CUST035,CART035,Tobye,Jeffery,1987-08-11,9064829879,tjefferyy@aboutads.info,157,"7 Lindbergh Hill",Munkedal,266695,"Västra Götaland",Sweden,NULL,Normal
CUST036,CART036,Portia,Olsson,1992-12-14,4338270646,polssonz@ifeng.com,194,"9577 Golf View Park",Dumbéa,246938,NULL,"New Caledonia",4198,Prime
CUST037,CART037,Merridie,Karlowicz,1986-04-17,NULL,mkarlowicz10@ted.com,235,"6 Knutson Trail",Tuofeng,350964,NULL,China,3427,Normal
CUST038,CART038,Gregor,Collinette,1970-12-07,2129395144,gcollinette11@ezinearticles.com,260,"3247 Southridge Junction",Duifang,501089,NULL,China,2523,Normal
CUST039,CART039,Rasia,Eyton,1957-11-05,4159724959,reyton12@jigsy.com,106,"5921 Killdeer Road",Romans-sur-Isère,385937,Rhône-Alpes,France,1806,Normal
CUST040,CART040,Ingunna,Corness,1982-01-22,2357672747,icorness13@wikia.com,145,"91067 Hovde Park",Águas,448442,"Castelo Branco",Portugal,2105,Elite
CUST041,CART041,Bab,Sallans,1995-03-04,4735332659,bsallans14@flickr.com,199,"5221 Sherman Crossing",Chachagüí,330428,NULL,Colombia,4372,Prime
CUST042,CART042,Molli,Elderidge,2000-03-03,NULL,melderidge15@twitpic.com,240,"7 Rusk Road",Ayamaru,391329,NULL,Indonesia,4019,Prime
CUST043,CART043,Miltie,Wildash,1989-11-11,8966912253,mwildash16@51.la,13,"90 Union Pass",Canggou,592809,NULL,China,3762,Prime
CUST044,CART044,Vania,Benito,1976-03-27,4381454511,vbenito17@statcounter.com,17,"438 Lunder Junction",Nato,324327,NULL,Philippines,3441,Normal
CUST045,CART045,Mitchael,Dunks,1983-04-06,1042105314,mdunks18@domainmarket.com,124,"4098 Reinke Road",Bugarama,539503,NULL,Tanzania,3348,Normal
CUST046,CART046,Elga,Warsap,1954-12-20,3322220826,ewarsap19@flavors.me,252,"8394 Village Green Parkway","Vila Flor",193780,Bragança,Portugal,631,Normal
CUST047,CART047,Sandy,Selburn,1979-08-01,3858749878,sselburn1a@usgs.gov,48,"80 Goodland Lane","Chai Badan",321554,NULL,Thailand,1579,Prime
CUST048,CART048,Bron,O'Corr,1979-03-28,8289690107,bocorr1b@ow.ly,150,"743 Loftsgordon Center",Koua,190250,NULL,Comoros,754,Normal
CUST049,CART049,Skelly,Fowler,1992-01-10,4141796989,sfowler1c@behance.net,73,"92301 Bartelt Road","Kuala Lumpur",244991,"Kuala Lumpur",Malaysia,1937,Prime
CUST050,CART050,Fred,Barthelet,1990-07-15,4952689879,fbarthelet1d@pbs.org,38,"053 Reinke Circle",Zhangyelu,210747,NULL,China,4602,Normal
CUST051,CART051,Becki,Strick,2005-06-20,6926565636,bstrick1e@paypal.com,159,"7 Lake View Road",Yulin,390741,NULL,China,3184,Prime
CUST052,CART052,Lena,Burbudge,1987-05-17,4576586004,lburbudge1f@hibu.com,26,"5 Debs Terrace",Mandala,522501,NULL,Indonesia,631,Elite
CUST053,CART053,Darelle,Kubecka,1972-07-12,4153477181,dkubecka1g@weebly.com,209,"01 Macpherson Drive",Youxikou,111227,NULL,China,4756,Prime
CUST054,CART054,Christian,Tuckwood,1989-05-21,6677514394,ctuckwood1h@hud.gov,80,"02944 Vernon Hill",Luksuhin,298192,NULL,Philippines,648,Prime
CUST055,CART055,Lou,Halle,1971-01-20,6997769551,lhalle1i@over-blog.com,27,"895 Evergreen Pass",Chakou,464101,NULL,China,920,Normal
CUST056,CART056,Daren,Suttell,1997-08-03,8665823736,dsuttell1j@stanford.edu,3,"74 Coolidge Crossing",Lungmar,338177,NULL,China,4353,Normal
CUST057,CART057,Raddy,Izzett,1976-10-29,3909710643,rizzett1k@phoca.cz,83,"36656 Muir Crossing",Niechanowo,373846,NULL,Poland,4494,Prime
CUST058,CART058,Kelci,Andrys,1955-06-15,6884609006,kandrys1l@bbb.org,263,"1421 Muir Trail",Corga,167577,"Viana do Castelo",Portugal,3944,Prime
CUST059,CART059,Ilario,Pidgin,2002-12-31,2046418371,ipidgin1m@networkadvertising.org,18,"374 Harper Road",Kalej,278466,NULL,Poland,823,Normal
CUST060,CART060,Dannie,Eversfield,2008-06-27,8516816601,deversfield1n@wordpress.com,171,"18 American Ash Lane","El Ocotón",344864,NULL,Honduras,3801,Normal
CUST061,CART061,Goldie,Simic,1968-04-10,8447297530,gsimic1o@seattletimes.com,106,"2 Londonderry Street",Kibiya,183611,NULL,Nigeria,920,Prime
CUST062,CART062,Cherilyn,Francois,2000-01-21,9683767611,cfrancois1p@scientificamerican.com,17,"872 John Wall Plaza",Örebro,231990,Örebro,Sweden,182,Normal
CUST063,CART063,Rosaleen,Wisam,1977-09-29,7018177769,rwisam1q@blinklist.com,75,"5211 Fisk Circle",Xinqiao,545229,NULL,China,1615,Elite
CUST064,CART064,Brigitta,Huddleston,1961-06-07,6911775371,bhuddleston1r@dmoz.org,144,"5 Oriole Park","Mae Fa Luang",193875,NULL,Thailand,2643,Normal
CUST065,CART065,Pauline,Koppens,2002-08-25,9958832090,pkoppens1s@jigsy.com,125,"55 Jana Circle",Clanwilliam,115558,NULL,"South Africa",4590,Elite
CUST066,CART066,Ajay,Phillps,2003-10-22,4176068408,aphillps1t@usa.gov,11,"74 Aberg Plaza",Springfield,132237,Missouri,"United States",NULL,Elite
CUST067,CART067,Ezechiel,Pressland,1963-05-20,1372375890,epressland1u@sciencedirect.com,223,"21 Blue Bill Park Circle",Fort-de-France,432912,Martinique,Martinique,698,Elite
CUST068,CART068,Marga,Minthorpe,1987-09-10,7093116268,mminthorpe1v@harvard.edu,84,"2923 Park Meadow Pass",Neuquén,232992,NULL,Argentina,3310,Normal
CUST069,CART069,Joni,Camilio,1987-09-11,5944426107,jcamilio1w@vkontakte.ru,80,"73 Delaware Center",Sułoszowa,518833,NULL,Poland,3221,Normal
CUST070,CART070,Aaron,Sanpere,2003-03-29,3029407030,asanpere1x@people.com.cn,53,"58680 Center Crossing","Cinagrog Girang",390419,NULL,Indonesia,2276,Prime
CUST071,CART071,Rocky,Comfort,1982-05-15,8256324124,rcomfort1y@epa.gov,300,"1921 Mallory Crossing","Heřmanův Městec",210304,NULL,"Czech Republic",4535,Normal
CUST072,CART072,Minnnie,Maletratt,1989-08-05,9818104683,mmaletratt1z@shinystat.com,265,"9089 Moland Circle",Shaowu,529268,NULL,China,1022,Elite
CUST073,CART073,Ernest,Hursey,2004-08-21,4175570350,ehursey20@sakura.ne.jp,197,"53 Manley Lane",Kendaruan,234390,NULL,Indonesia,NULL,Elite
CUST074,CART074,Mickey,Jeens,2008-07-01,6148960135,mjeens21@wordpress.org,138,"298 Monterey Pass",Kekeran,269791,NULL,Indonesia,2941,Elite
CUST075,CART075,Veronique,Dillimore,2009-07-01,NULL,vdillimore22@mysql.com,112,"622 Blackbird Trail",Piranshahr,462055,NULL,Iran,1715,Prime
CUST076,CART076,Dre,Wegman,1991-09-12,2689232554,dwegman23@infoseek.co.jp,154,"3174 Crescent Oaks Crossing",Manado,489338,NULL,Indonesia,735,Elite
CUST077,CART077,Raina,Langstone,1985-09-12,9554163661,rlangstone24@apache.org,299,"0627 Center Crossing",Rikitgaib,420740,NULL,Indonesia,3079,Normal
CUST078,CART078,Mill,Bangham,2002-08-28,9927754158,mbangham25@independent.co.uk,202,"8 Vidon Place",Kavadarci,383457,NULL,Macedonia,170,Normal
CUST079,CART079,Merissa,MacTrustram,1996-03-19,3835999436,mmactrustram26@google.com.br,199,"4899 Kingsford Street",Limon,294724,NULL,Philippines,2884,Elite
CUST080,CART080,Jobie,Chatteris,1959-12-05,1671994101,jchatteris27@com.com,180,"803 Ramsey Way",Linggou,592643,NULL,China,713,Prime
CUST081,CART081,Bert,Row,2008-02-15,9334038064,brow28@miibeian.gov.cn,256,"0557 Manufacturers Hill",Jargalant,125008,NULL,Mongolia,958,Normal
CUST082,CART082,Easter,Manhood,2004-03-06,2922079911,emanhood29@t.co,140,"4 Oak Drive",Jixiang,585176,NULL,China,4774,Elite
CUST083,CART083,Noni,Egar,1962-12-03,2945168109,negar2a@moonfruit.com,289,"2 Karstens Court","Ngã Bảy",472209,NULL,Vietnam,2833,Normal
CUST084,CART084,Ingaborg,Mariette,1961-05-19,5377793708,imariette2b@webnode.com,40,"6 Nancy Place",Qesarya,498138,NULL,Israel,1045,Prime
CUST085,CART085,Merell,Marson,1976-02-29,5851494309,mmarson2c@symantec.com,104,"14348 Red Cloud Trail",Smolenka,268188,NULL,Russia,4282,Prime
CUST086,CART086,Waldemar,Lattka,1953-10-17,6824848268,wlattka2d@gmpg.org,38,"37 Buhler Road",Ruma,141770,NULL,Serbia,1027,Prime
CUST087,CART087,Innis,Ellerker,1952-12-28,4831611211,iellerker2e@ehow.com,188,"8800 Badeau Avenue",Mingcheng,179128,NULL,China,4708,Normal
CUST088,CART088,Elly,Syne,1978-01-20,1238523105,esyne2f@forbes.com,295,"0 Anniversary Place",Curumaní,460065,NULL,Colombia,807,Normal
CUST089,CART089,Merilee,Culver,1962-12-21,4701790592,mculver2g@tumblr.com,238,"8484 Manitowish Plaza",Okrouhlice,195820,NULL,"Czech Republic",1576,Elite
CUST090,CART090,Zedekiah,Seabright,2006-10-25,9894977092,zseabright2h@illinois.edu,29,"1828 Sullivan Trail",Yerazgavors,337943,NULL,Armenia,4523,Normal
CUST091,CART091,Alexandr,Woodland,1982-05-06,7371200101,awoodland2i@cbslocal.com,3,"140 Lien Lane",Ciburial,300729,NULL,Indonesia,2049,Normal
CUST092,CART092,Roscoe,Kimber,1962-09-12,3415548790,rkimber2j@w3.org,44,"10 Melby Junction",Sassandra,362182,NULL,"Ivory Coast",3114,Prime
CUST093,CART093,Elsbeth,Belli,1992-05-15,8348584932,ebelli2k@ucla.edu,62,"33 Shopko Terrace","Na Kae",114034,NULL,Thailand,2866,Normal
CUST094,CART094,Uri,Avramovic,1967-06-11,7128656767,uavramovic2l@yandex.ru,97,"1 Prentice Pass",Xiyuan,287800,NULL,China,503,Elite
CUST095,CART095,Ad,Sherrett,1981-07-10,6321249022,asherrett2m@hud.gov,10,"756 Green Ridge Center",Nahura,545224,NULL,Indonesia,4055,Normal
CUST096,CART096,Nessie,Cayzer,1954-01-10,5826367257,ncayzer2n@amazonaws.com,264,"7239 Mitchell Street",Tongqing,431180,NULL,China,2803,Prime
CUST097,CART097,Chickie,Berrey,2008-10-20,3039540471,cberrey2o@sun.com,197,"4646 Prairie Rose Drive",Göteborg,314239,"Västra Götaland",Sweden,1853,Prime
CUST098,CART098,Tera,Kobelt,1983-03-22,4596204154,tkobelt2p@eventbrite.com,82,"5 Quincy Trail",Altavista,109636,Tamaulipas,Mexico,182,Normal
CUST099,CART099,Dayle,Dingate,1969-07-15,NULL,ddingate2q@parallels.com,240,"96752 Dennis Way","Paris 05",528863,Île-de-France,France,NULL,Normal
CUST100,CART100,Ogden,Olcot,1999-06-13,7384996530,oolcot2r@washingtonpost.com,266,"2133 Bellgrove Court",Shankeng,545522,NULL,China,3387,Prime
CUST101,CART101,Boigie,Sirmond,1953-05-02,4864676233,bsirmond2s@abc.net.au,238,"35 Barby Point",Danzi,459989,NULL,China,4690,Elite
CUST102,CART102,Norean,Lean,1975-01-27,7219052728,nlean2t@bbc.co.uk,39,"7 Debra Alley",Andahuaylas,386475,NULL,Peru,3048,Prime
CUST103,CART103,Rourke,Janning,1986-07-30,7107527443,rjanning2u@weebly.com,280,"63 Corscot Road",Shushi,267313,NULL,Azerbaijan,3852,Elite
CUST104,CART104,Karmen,Kiossel,2000-03-29,9542584775,kkiossel2v@smh.com.au,13,"49 Sunbrook Center",Listowel,529063,NULL,Ireland,570,Normal
CUST105,CART105,Tilda,Reuven,1969-01-17,7283844518,treuven2w@unicef.org,17,"018 Nevada Way",Burirao,483653,NULL,Philippines,2395,Elite
CUST106,CART106,Hermione,Heaton,2007-06-28,5094283800,hheaton2x@yelp.com,274,"57 Anhalt Crossing","Sungai Raya",202621,NULL,Indonesia,4316,Elite
CUST107,CART107,Marie-ann,Busfield,1964-07-22,3036522737,mbusfield2y@joomla.org,56,"3 Warbler Point",Hushan,353328,NULL,China,2652,Normal
CUST108,CART108,Flss,Bayns,2002-10-30,3884811607,fbayns2z@si.edu,73,"5815 Valley Edge Way",Kempele,585274,NULL,Finland,4389,Normal
CUST109,CART109,Fitzgerald,Pere,1975-12-04,1782797832,fpere30@nyu.edu,209,"2 Lukken Pass",Mendeleyevo,583172,NULL,Russia,775,Elite
CUST110,CART110,Brenn,Sallans,1967-06-04,9016252808,bsallans31@tumblr.com,142,"54 Arkansas Avenue",Manadas,398143,"Ilha de São Jorge",Portugal,4215,Prime
CUST111,CART111,Thomasa,Vahl,1962-07-10,4265751543,tvahl32@yandex.ru,115,"720 Thackeray Way",Nouaseur,556046,NULL,Morocco,220,Elite
CUST112,CART112,Rozanne,Crus,1979-01-01,6172101334,rcrus33@drupal.org,228,"04 Burning Wood Junction",Karangboyo,325897,NULL,Indonesia,4164,Prime
CUST113,CART113,Rozalin,LeEstut,1954-04-10,4795096059,rleestut34@google.com,240,"5 Evergreen Way",Futtsu,468070,NULL,Japan,3349,Elite
CUST114,CART114,Erin,Lewsy,1986-02-08,5381059868,elewsy35@sfgate.com,217,"4 Karstens Circle",Lupon,585306,NULL,Philippines,4031,Prime
CUST115,CART115,Nettie,Scrimshire,1972-06-01,8971036655,nscrimshire36@cdbaby.com,30,"855 Clarendon Plaza","Palma Gil",360321,NULL,Philippines,3733,Elite
CUST116,CART116,Sergio,Bredes,1989-06-02,8947529719,sbredes37@vimeo.com,194,"12931 Pennsylvania Junction",Nanjing,593393,NULL,China,4855,Prime
CUST117,CART117,Marcellina,Iwanicki,1994-01-23,4573564102,miwanicki38@networkadvertising.org,55,"59 Westend Drive",Jakusko,341165,NULL,Nigeria,1348,Prime
CUST118,CART118,Johny,Shaudfurth,1992-07-01,4579998994,jshaudfurth39@epa.gov,110,"808 Tennyson Junction",Haoshui,331274,NULL,China,2541,Prime
CUST119,CART119,Gleda,Duggan,1973-11-08,1723080208,gduggan3a@addtoany.com,110,"06527 Maple Crossing",Smilavichy,280330,NULL,Belarus,3856,Elite
CUST120,CART120,Palm,Paskin,1981-09-11,3675973950,ppaskin3b@techcrunch.com,183,"05 Coolidge Court","Tunggaoen Timur",331124,NULL,Indonesia,1991,Elite
CUST121,CART121,Queenie,Noraway,1990-07-10,7405573778,qnoraway3c@hhs.gov,148,"403 Village Terrace",Roma,522318,Lazio,Italy,1744,Elite
CUST122,CART122,Betta,McConnal,1960-07-27,5561038660,bmcconnal3d@usgs.gov,209,"5340 Summit Lane",Burujul,426789,NULL,Indonesia,4268,Prime
CUST123,CART123,Washington,Vasilyev,2000-09-03,1666551850,wvasilyev3e@joomla.org,146,"3958 Springs Avenue",Guanshan,467721,NULL,China,4606,Prime
CUST124,CART124,Patten,Aucourte,1992-04-25,9673671336,paucourte3f@businesswire.com,141,"8 Barnett Circle",Kalajoki,278949,NULL,Finland,NULL,Elite
CUST125,CART125,Nikolaus,Dobrowolski,1966-08-06,1682355001,ndobrowolski3g@odnoklassniki.ru,222,"1647 Golf Junction",Sondo,402848,NULL,Indonesia,1466,Prime
CUST126,CART126,Claiborn,Scullard,1986-08-15,5549750712,cscullard3h@com.com,218,"1 Reinke Way",Mulyadadi,531777,NULL,Indonesia,1681,Prime
CUST127,CART127,Coleman,Pluthero,1958-05-22,1023086787,cpluthero3i@goo.gl,166,"7 Hermina Trail",Zhongdong,212161,NULL,China,108,Elite
CUST128,CART128,Vina,MacKnocker,1976-06-10,2075504215,vmacknocker3j@princeton.edu,185,"5 Cardinal Pass",Anmore,463469,"British Columbia",Canada,205,Normal
CUST129,CART129,Kirsti,Steuart,1976-12-11,8834896588,ksteuart3k@hexun.com,209,"9415 Merry Crossing",Minle,568735,NULL,China,1531,Prime
CUST130,CART130,Roxana,Forward,1998-01-27,5319027815,rforward3l@ezinearticles.com,191,"6833 Fairfield Road","Đình Lập",123632,NULL,Vietnam,378,Normal
CUST131,CART131,Mair,Catcheside,1970-04-12,9082541316,mcatcheside3m@bravesites.com,280,"5 Riverside Avenue",Haumeni,236897,NULL,Indonesia,4911,Elite
CUST132,CART132,Leila,Ratazzi,1987-02-15,2534565497,lratazzi3n@loc.gov,166,"2 Merchant Crossing",Jaroměřice,379867,NULL,"Czech Republic",1447,Prime
CUST133,CART133,Glori,Hunte,1989-01-29,2303502990,ghunte3o@wsj.com,282,"6488 High Crossing Lane","Bucu Lor",558945,NULL,Indonesia,4223,Prime
CUST134,CART134,Izaak,Beazer,1953-06-22,5116820507,ibeazer3p@gmpg.org,3,"8 Moose Crossing","Cut-cut Primero",481292,NULL,Philippines,4743,Elite
CUST135,CART135,Lalo,McGowing,1968-02-06,4788212631,lmcgowing3q@theatlantic.com,240,"44593 Emmet Court","Hưng Nguyên",420829,NULL,Vietnam,2029,Prime
CUST136,CART136,Koo,Fulep,1986-03-09,6479197545,kfulep3r@earthlink.net,249,"839 Buhler Point",Gigant,350501,NULL,Russia,NULL,Elite
CUST137,CART137,Richmound,Allabarton,1983-07-22,7637608917,rallabarton3s@cbslocal.com,213,"168 Eastwood Place",Sidomekar,250520,NULL,Indonesia,2420,Prime
CUST138,CART138,Waly,McAulay,1974-10-16,3549463991,wmcaulay3t@wikipedia.org,29,"65747 Carberry Way","Buni Yadi",174108,NULL,Nigeria,3796,Normal
CUST139,CART139,Cookie,Melland,2009-10-06,5626446370,cmelland3u@trellian.com,98,"2 1st Junction",Baoji,202450,NULL,China,178,Prime
CUST140,CART140,Janeta,Twinbourne,1983-10-28,9379367189,jtwinbourne3v@ucsd.edu,39,"0843 Miller Trail",Narimanov,422108,NULL,Russia,3630,Elite
CUST141,CART141,Alicea,Nasi,1966-12-18,1251609712,anasi3w@yelp.com,140,"5054 Burrows Junction",Hacıqabul,240001,NULL,Azerbaijan,4747,Normal
CUST142,CART142,Vladamir,Husk,1975-02-22,5711035234,vhusk3x@businesswire.com,239,"427 Melby Alley",Dongjie,588353,NULL,China,3348,Elite
CUST143,CART143,Auberta,Sigg,1980-11-07,NULL,asigg3y@tripod.com,195,"3935 Ilene Circle","Port Barton",516771,NULL,Philippines,737,Prime
CUST144,CART144,Naomi,Genney,1967-03-12,6831405866,ngenney3z@rediff.com,115,"19322 Roth Place",Norrköping,162405,Östergötland,Sweden,1459,Prime
CUST145,CART145,Reyna,Pickvance,1987-10-01,4962407340,rpickvance40@so-net.ne.jp,272,"186 Sutteridge Crossing",Ginatilan,441582,NULL,Philippines,929,Normal
CUST146,CART146,Elga,Richmont,1975-08-28,3847761542,erichmont41@seattletimes.com,246,"91821 Cody Point",Pontevedra,493478,Galicia,Spain,3694,Elite
CUST147,CART147,Marieann,Remon,1971-12-05,8503653767,mremon42@google.es,31,"9 Westport Street",Pensacola,310632,Florida,"United States",585,Normal
CUST148,CART148,Barbara-anne,Blaksland,1970-10-28,8493030838,bblaksland43@pcworld.com,166,"9 Arizona Park","Wachira Barami",210256,NULL,Thailand,597,Normal
CUST149,CART149,Fraze,Probyn,2006-12-26,2477252668,fprobyn44@nsw.gov.au,122,"93486 Springview Center",Rybinsk,482784,NULL,Russia,4333,Prime
CUST150,CART150,Jedediah,Oakman,1985-01-10,5683255765,joakman45@ucoz.com,84,"63 Nancy Pass","Senhor da Serra",579500,Coimbra,Portugal,66,Normal
CUST151,CART151,Tatum,Sprey,2006-06-26,6738088567,tsprey46@amazon.co.jp,258,"11 Melody Junction","Cerme Kidul",465789,NULL,Indonesia,390,Normal
CUST152,CART152,Giffard,Chesser,2007-11-02,4397487496,gchesser47@mysql.com,114,"8970 Hauk Plaza",Obispos,163125,NULL,Venezuela,3249,Normal
CUST153,CART153,Dynah,Ollerton,1997-06-14,3906185990,dollerton48@typepad.com,19,"8243 Esker Road",Lingdi,211194,NULL,China,1177,Elite
CUST154,CART154,Ulysses,Rickasse,1979-04-29,4066620654,urickasse49@huffingtonpost.com,107,"64 Westerfield Hill","La Paz",474102,NULL,Colombia,1133,Prime
CUST155,CART155,Noreen,Brister,1978-12-18,3585699171,nbrister4a@delicious.com,32,"44 Buhler Place",Masebewa,531714,NULL,Indonesia,729,Elite
CUST156,CART156,Neddy,Derry,1981-12-12,4062627431,nderry4b@booking.com,173,"71 Schmedeman Parkway",Töysä,459482,NULL,Finland,NULL,Prime
CUST157,CART157,Pat,Tavinor,1982-10-31,7449841742,ptavinor4c@cnn.com,126,"28023 Westend Hill",Liujia,426757,NULL,China,4160,Elite
CUST158,CART158,Mufi,Loiterton,2002-07-27,7335621169,mloiterton4d@who.int,202,"8237 Sutteridge Park",Anlu,414058,NULL,China,741,Elite
CUST159,CART159,Hilarius,Crilly,1953-04-15,NULL,hcrilly4e@dailymail.co.uk,206,"9765 Russell Place",Psygansu,320114,NULL,Russia,3209,Normal
CUST160,CART160,Broderick,Toal,1963-04-11,8396842304,btoal4f@clickbank.net,243,"729 Kensington Crossing",Zaporizhzhya,144961,NULL,Ukraine,1531,Normal
CUST161,CART161,Glen,Blunkett,2004-04-30,6626641467,gblunkett4g@alibaba.com,232,"78 Ruskin Crossing",Meijiang,140622,NULL,China,2747,Normal
CUST162,CART162,Tricia,Mews,1958-09-06,6754739713,tmews4h@businessinsider.com,115,"16195 Hanover Pass",Ashiya,495179,NULL,Japan,NULL,Prime
CUST163,CART163,Marcus,John,1967-06-28,9573068499,mjohn4i@mapy.cz,93,"2 Del Mar Lane",Ampahana,502820,NULL,Madagascar,453,Prime
CUST164,CART164,Benedetto,Tildesley,1979-07-20,5076731988,btildesley4j@zimbio.com,168,"8 Hanover Avenue",Ptghunk’,274842,NULL,Armenia,1772,Elite
CUST165,CART165,Evaleen,Gunthorp,1965-06-10,3585846108,egunthorp4k@time.com,185,"81322 Everett Drive","Tanjung Timur",186567,NULL,Indonesia,2666,Normal
